hour,entity_type,entity_id,event,detail
3,TRUCK,0,MOVING,"pos=(76.27,19.95) heading to WH-0"
3,TRUCK,1,MOVING,"pos=(26.40,76.70) heading to WH-0"
3,TRUCK,2,MOVING,"pos=(19.90,27.44) heading to WH-2"
4,WAREHOUSE,0,QUEUE,"length=0 trucks=[]"
4,WAREHOUSE,0,DOCK_STATUS,"dock=0 FREE dock=1 FREE dock=2 FREE"
4,WAREHOUSE,1,QUEUE,"length=0 trucks=[]"
4,WAREHOUSE,1,DOCK_STATUS,"dock=0 FREE dock=1 FREE dock=2 FREE"
4,WAREHOUSE,2,QUEUE,"length=0 trucks=[]"
4,WAREHOUSE,2,DOCK_STATUS,"dock=0 FREE"
4,WAREHOUSE,3,QUEUE,"length=0 trucks=[]"
4,WAREHOUSE,3,DOCK_STATUS,"dock=0 FREE dock=1 FREE"
4,WAREHOUSE,4,QUEUE,"length=0 trucks=[]"
4,WAREHOUSE,4,DOCK_STATUS,"dock=0 FREE dock=1 FREE"
4,TRUCK,0,MOVING,"pos=(74.50,22.38) heading to WH-0"
4,TRUCK,1,MOVING,"pos=(29.10,73.75) heading to WH-0"
4,TRUCK,2,MOVING,"pos=(21.90,27.46) heading to WH-2"
5,WAREHOUSE,0,QUEUE,"length=0 trucks=[]"
5,WAREHOUSE,0,DOCK_STATUS,"dock=0 FREE dock=1 FREE dock=2 FREE"
5,WAREHOUSE,1,QUEUE,"length=0 trucks=[]"
5,WAREHOUSE,1,DOCK_STATUS,"dock=0 FREE dock=1 FREE dock=2 FREE"
5,WAREHOUSE,2,QUEUE,"length=0 trucks=[]"
5,WAREHOUSE,2,DOCK_STATUS,"dock=0 FREE"
5,WAREHOUSE,3,QUEUE,"length=0 trucks=[]"
5,WAREHOUSE,3,DOCK_STATUS,"dock=0 FREE dock=1 FREE"
5,WAREHOUSE,4,QUEUE,"length=0 trucks=[]"
5,WAREHOUSE,4,DOCK_STATUS,"dock=0 FREE dock=1 FREE"
5,TRUCK,0,MOVING,"pos=(72.74,24.80) heading to WH-0"
5,TRUCK,1,MOVING,"pos=(31.80,70.80) heading to WH-0"
5,TRUCK,2,MOVING,"pos=(23.90,27.48) heading to WH-2"
6,WAREHOUSE,0,QUEUE,"length=0 trucks=[]"
6,WAREHOUSE,0,DOCK_STATUS,"dock=0 FREE dock=1 FREE dock=2 FREE"
6,WAREHOUSE,1,QUEUE,"length=0 trucks=[]"
6,WAREHOUSE,1,DOCK_STATUS,"dock=0 FREE dock=1 FREE dock=2 FREE"
6,WAREHOUSE,2,QUEUE,"length=0 trucks=[]"
6,WAREHOUSE,2,DOCK_STATUS,"dock=0 FREE"
6,WAREHOUSE,3,QUEUE,"length=0 trucks=[]"
6,WAREHOUSE,3,DOCK_STATUS,"dock=0 FREE dock=1 FREE"
